,breed,breed_url,breed_image,breed_group,weight,height,life_expectancy,breed_temperament,pdf_breed_standard,akc_breed_popularity
134,Icelandic Sheepdog,https://www.akc.org/dog-breeds/icelandic-sheepdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14120731/Icelandic-Care.jpg,Herding Group,"30 pounds (male), 25 pounds (female)","18 inches (male), 16.5 inches (female)",12-14 years,"['Friendly', ' Playful', ' Inquisitive']",http://images.akc.org/pdf/breeds/standards/IcelandicSheepdog.pdf,Ranks 155 of 195
135,Irish Red and White Setter,https://www.akc.org/dog-breeds/irish-red-and-white-setter/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213854/Irish-Red-And-White-Setter-Care.jpg,Sporting Group,"42-60 pounds (male), 35-50 pounds (female)","24.5-26 inches (male), 22.5-24 inches (female)",11-15 years,"['Courageous', ' Spirited', ' Determined']",http://images.akc.org/pdf/breeds/standards/IrishRedWhiteSetter.pdf,Ranks 146 of 195
136,Irish Setter,https://www.akc.org/dog-breeds/irish-setter/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02114357/Irish-Setter-care1.jpg,Sporting Group,"70 pounds (male), 60 pounds (female)","27 inches (male), 25 inches (female)",12-15 years,"['Active', ' Outgoing', ' Sweet-Natured']",http://images.akc.org/pdf/breeds/standards/IrishSetter.pdf,Ranks 77 of 195
137,Irish Terrier,https://www.akc.org/dog-breeds/irish-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27171856/Irish-Terrier.jpg,Terrier Group,"27 pounds (male), 25 pounds (female)",18 inches,13-15 years,"['Bold', ' Dashing', ' Tenderhearted']",http://images.akc.org/pdf/breeds/standards/IrishTerrier.pdf,Ranks 116 of 195
138,Irish Water Spaniel,https://www.akc.org/dog-breeds/irish-water-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02122401/Irish-Water-Spaniel.1.jpg,Sporting Group,"55-68 pounds (male), 45-58 pounds (female)","22-24 inches (male), 21-23 inches (female)",12-13 years,"['Playful', ' Hardworking', ' Brave']",http://images.akc.org/pdf/breeds/standards/IrishWaterSpaniel.pdf,Ranks 159 of 195
139,Irish Wolfhound,https://www.akc.org/dog-breeds/irish-wolfhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231907/Irish-Wolfhound-Care.jpg,Hound Group,"120 pounds (male), 105 pounds (female)","32 inches minimum (male), 30 inches minimum (female)",6-8 years,"['Courageous', ' Dignified', ' Calm']",http://images.akc.org/pdf/breeds/standards/IrishWolfhound.pdf,Ranks 76 of 195
140,Italian Greyhound,https://www.akc.org/dog-breeds/italian-greyhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20155043/Italian-Greyhound-head-portrait.jpg,Toy Group,7-14 pounds,13-15 inches,14-15 years,"['Playful', ' Alert', ' Sensitive']",http://images.akc.org/pdf/breeds/standards/ItalianGreyhound.pdf,Ranks 73 of 195
141,Jagdterrier,https://www.akc.org/dog-breeds/jagdterrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185452/Jagdterrier-Care.jpg,Foundation Stock Service,17-22 pounds,13-16 inches,10-12 years,"['Courageous', ' Intelligent', ' Hardworking']",http://www.fci.be/Nomenclature/Standards/103g03-en.pdf,
142,Japanese Chin,https://www.akc.org/dog-breeds/japanese-chin/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25164312/Japanese-Chin-laying-in-fall-leaves.jpg,Toy Group,7-11 pounds,8-11 inches,10-12 years,"['Charming', ' Noble', ' Loving']",http://images.akc.org/pdf/breeds/standards/JapaneseChin.pdf,Ranks 104 of 195
143,Japanese Spitz,https://www.akc.org/dog-breeds/japanese-spitz/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/28104824/Japanese-Spitz-care.jpg,Foundation Stock Service,10-25 pounds,12-15 inches,12-14 years,"['Loyal', ' Playful', ' Smart']",http://www.fci.be/Nomenclature/Standards/262g05-en.pdf,
144,Jindo,https://www.akc.org/dog-breeds/jindo/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03201501/Jindo-care1.jpg,Foundation Stock Service,30-50 pounds,18-22 inches,~14 years,"['Alert', ' Intelligent', ' Bold']",http://www.fci.be/Nomenclature/Standards/334g05-en.pdf,
145,Kai Ken,https://www.akc.org/dog-breeds/kai-ken/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28123416/Kai-Ken-Care-1.jpg,Foundation Stock Service,20-40 pounds,15.5-19.5 inches,12-15 years,"['Loyal', ' Agile', ' Keen']",http://www.fci.be/Nomenclature/Standards/317g05-en.pdf,
146,Karelian Bear Dog,https://www.akc.org/dog-breeds/karelian-bear-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04225346/Karelian-Bear-Dog.care_.jpg,Foundation Stock Service,44-49 pounds,19-23.5 inches,11-13 years,"['Loyal', ' Independent', ' Courageous']",http://www.fci.be/Nomenclature/Standards/048g05-en.pdf,
147,Keeshond,https://www.akc.org/dog-breeds/keeshond/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231721/Keeshond-Care.jpg,Non-Sporting Group,35-45 pounds,"18 inches (male), 17 inches (female)",12-15 years,"['Friendly', ' Lively', ' Outgoing']",http://images.akc.org/pdf/breeds/standards/Keeshond.pdf,Ranks 95 of 195
148,Kerry Blue Terrier,https://www.akc.org/dog-breeds/kerry-blue-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231635/Kerry-Blue-Terrier-Care.jpg,Terrier Group,"33-40 pounds (male), females weigh slightly less than males","18-19.5 inches (male), 17.5-19 inches (female)",12-15 years,"['Smart', ' Alert', ' People-Oriented']",http://images.akc.org/pdf/breeds/standards/KerryBlueTerrier.pdf,Ranks 129 of 195
149,Kishu Ken,https://www.akc.org/dog-breeds/kishu-ken/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09134718/Kishu-Ken.21.jpg,Foundation Stock Service,30-60 pounds,17-22 inches,11-13 years,"['Faithful', ' Noble', ' Docile']",http://www.fci.be/Nomenclature/Standards/318g05-en.pdf,
150,Komondor,https://www.akc.org/dog-breeds/komondor/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231552/Komondor-Care.jpg,Working Group,"100 pounds or more (male), 80 pounds or more (female)","27.5 minimum inches (male), 25.5 minimum inches (female)",10-12 years,"['Loyal', ' Dignified', ' Brave']",http://images.akc.org/pdf/breeds/standards/Komondor.pdf,Ranks 173 of 195
151,Kromfohrlander,https://www.akc.org/dog-breeds/kromfohrlander/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09095117/Kromfohrlander.Care_.jpg,Foundation Stock Service,20-35 pounds,15-18 inches,13-15 years,"['Intelligent', ' Active', ' Sensitive']",http://www.fci.be/Nomenclature/Standards/192g09-en.pdf,
152,Kuvasz,https://www.akc.org/dog-breeds/kuvasz/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231507/Kuvasz-Care.jpg,Working Group,"100-115 pounds (male), 70-90 pounds (female)","28-30 inches (male), 26-28 inches (female)",10-12 years,"['Loyal', ' Fearless', ' Sweet']",http://images.akc.org/pdf/breeds/standards/Kuvasz.pdf,Ranks 163 of 195
153,Labrador Retriever,https://www.akc.org/dog-breeds/labrador-retriever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231434/Labrador-Retriever-Care.jpg,Sporting Group,"65-80 pounds (male), 55-70 pounds (female)","22.5-24.5 inches (male), 21.5-23.5 inches (female)",10-12 years,"['Friendly', ' Active', ' Outgoing']",http://images.akc.org/pdf/breeds/standards/LabradorRetriever.pdf,Ranks 1 of 195
154,Lagotto Romagnolo,https://www.akc.org/dog-breeds/lagotto-romagnolo/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231326/Lagotto-Romagnolo-Care-500x749.jpg,Sporting Group,"28.5-35 pounds (male), 24-31 pounds (female)","17-19 inches (male), 16-18 inches (female)",15-17 years,"['Affectionate', ' Keen', ' Undemanding']",http://images.akc.org/pdf/breeds/standards/LagottoRomagnolo.pdf,Ranks 99 of 195
155,Lakeland Terrier,https://www.akc.org/dog-breeds/lakeland-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231256/Lakeland-Terrier-Care.jpg,Terrier Group,"17 pounds (male), slightly smaller (female)","14-15 inches (male), slightly smaller (female)",12-15 years,"['Friendly', ' Confident', ' Bold']",http://images.akc.org/pdf/breeds/standards/LakelandTerrier.pdf,Ranks 147 of 195
156,Lancashire Heeler,https://www.akc.org/dog-breeds/lancashire-heeler/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30165225/Lancashire-Heeler-gallery111.jpg,Miscellaneous Class,9-17 pounds,10-12 inches,12-15 years,"['Affectionate', ' Versatile', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/Lancashire_Heeler.pdf,
157,Lapponian Herder,https://www.akc.org/dog-breeds/lapponian-herder/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194510/Lapponian-Herder-Care.jpg,Foundation Stock Service,70 pounds,18-20 inches,10-14 years,"['Friendly', ' Energetic', ' Intelligent']",http://www.fci.be/Nomenclature/Standards/284g05-en.pdf,
158,Leonberger,https://www.akc.org/dog-breeds/leonberger/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194747/Leonberger-Care-2.jpg,Working Group,"110-170 pounds (male), 90-140 pounds (female)","28-31.5 inches (male), 25.5-29.5 inches (female)",9 years,"['Friendly', ' Gentle', ' Playful']",http://images.akc.org/pdf/breeds/standards/Leonberger.pdf,Ranks 93 of 195
159,Lhasa Apso,https://www.akc.org/dog-breeds/lhasa-apso/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09130555/Lhasa-Apso.jpg,Non-Sporting Group,12-18 pounds,"10-11 inches (male), slightly smaller (female)",12-15 years,"['Confident', ' Smart', ' Comical']",http://images.akc.org/pdf/breeds/standards/LhasaApso.pdf,Ranks 71 of 195
160,Lowchen,https://www.akc.org/dog-breeds/lowchen/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20120952/Lowchen-head-portrait-outdoors.jpg,Non-Sporting Group,10-15 pounds,11-13 inches,15+ years,"['Affectionate', ' Outgoing', ' Positive']",https://images.akc.org/pdf/breeds/standards/Lowchen.pdf,Ranks 168 of 195
161,Maltese,https://www.akc.org/dog-breeds/maltese/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231045/Maltese-Care.jpg,Toy Group,under 7 pounds,7-9 inches,12-15 years,"['Gentle', ' Playful', ' Charming']",http://images.akc.org/pdf/breeds/standards/Maltese.pdf,Ranks 37 of 195
162,Manchester Terrier (Standard),https://www.akc.org/dog-breeds/manchester-terrier-standard/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01152556/Manchester-Terrier-Standard-Care-02.jpg,Terrier Group,12-22 pounds,15-16 inches,15-17 years,"['Spirited', ' Bright', ' Keenly Observant']",http://images.akc.org/pdf/breeds/standards/ManchesterTerrier.pdf,Ranks 133 of 195
163,Manchester Terrier (Toy),https://www.akc.org/dog-breeds/manchester-terrier-toy/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/28015403/Manchester-Terrier-Toy-Care.jpg,Toy Group,under 12 pounds,10-12 inches,15-17 years,"['Agile', ' Spirited', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/ManchesterTerrier.pdf,Ranks 133 of 195
164,Mastiff,https://www.akc.org/dog-breeds/mastiff/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230915/Mastiff-Care.jpg,Working Group,"160-230 pounds (male), 120-170 pounds (female)","30 inches & up (male), 27.5 inches & up (female)",6-10 years,"['Courageous', ' Dignified', ' Good-Natured']",http://images.akc.org/pdf/breeds/standards/Mastiff.pdf,Ranks 29 of 195
165,Miniature American Shepherd,https://www.akc.org/dog-breeds/miniature-american-shepherd/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230840/Miniature-American-Shepherd-Care.jpg,Herding Group,20-40 pounds,"14-18 inches (male), 13-17 inches (female)",12-13 years,"['Good-Natured', ' Intelligent', ' Devoted']",http://images.akc.org/pdf/breeds/standards/MiniatureAmericanShepherd.pdf,Ranks 34 of 195
166,Miniature Bull Terrier,https://www.akc.org/dog-breeds/miniature-bull-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230813/Miniature-Bull-Terrier-Care.jpg,Terrier Group,18-28 pounds,10-14 inches,11-13 years,"['Upbeat', ' Mischievous', ' Comical']",http://images.akc.org/pdf/breeds/standards/MiniatureBullTerrier.pdf,Ranks 110 of 195
167,Miniature Pinscher,https://www.akc.org/dog-breeds/miniature-pinscher/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213925/Miniature-Pinscher-Care.jpg,Toy Group,8-10 pounds,10-12.5 inches,12-16 years,"['Fearless', ' Fun-Loving', ' Proud']",http://images.akc.org/pdf/breeds/standards/MiniaturePinscher.pdf,Ranks 70 of 195
168,Miniature Schnauzer,https://www.akc.org/dog-breeds/miniature-schnauzer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14225803/Miniature-Schnauzer-head-portrait.jpg,Terrier Group,11-20 pounds,12-14 inches,12-15 years,"['Friendly', ' Smart', ' Obedient']",http://images.akc.org/pdf/breeds/standards/MiniatureSchnauzer.pdf,Ranks 19 of 195
169,Mountain Cur,https://www.akc.org/dog-breeds/mountain-cur/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194425/Mountain-Cur-Care.jpg,Foundation Stock Service,30-60 pounds,16-26 inches,10-13 years,"['Intelligent', ' Strong-Willed', ' Reserved with Strangers']",,
170,Mudi,https://www.akc.org/dog-breeds/mudi/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02190758/Mudi-care.jpg,Miscellaneous Class,18-29 pounds,15-18.5 inches,12-14 years,"['Loyal', ' Intelligent', ' Active']",http://images.akc.org/pdf/breeds/standards/Mudi.pdf,
171,Neapolitan Mastiff,https://www.akc.org/dog-breeds/neapolitan-mastiff/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230633/Neapolitan-Mastiff-Care.jpg,Working Group,"150 pounds (male), 110 pounds (female)","26-31 inches (male), 24-29 inches (female)",7-9 years,"['Loyal', ' Dignified', ' Watchful']",http://images.akc.org/pdf/breeds/standards/NeapolitanMastiff.pdf,Ranks 102 of 195
172,Nederlandse Kooikerhondje,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27183905/Nederlandse-Kooikerhondje.jpg,Sporting Group,20-30 pounds,"15-17 inches (male), 14-16 inches (female)",12-15 years,"['Friendly', ' Alert', ' Quick']",http://images.akc.org/pdf/breeds/standards/Standard_Nederlandse_Kooikerhondje.pdf,Ranks 150 of 195
173,Newfoundland,https://www.akc.org/dog-breeds/newfoundland/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230557/Newfoundland-Care.jpg,Working Group,"130-150 pounds (male), 100-120 pounds (female)","28 inches (male), 26 inches (female)",9-10 years,"['Sweet', ' Patient', ' Devoted']",http://images.akc.org/pdf/breeds/standards/Newfoundland.pdf,Ranks 40 of 195
174,Norfolk Terrier,https://www.akc.org/dog-breeds/norfolk-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15104925/Norfolk-Terrier-head-portrait.20200115153638493.jpg,Terrier Group,11-12 pounds,9-10 inches,12-16 years,"['Fearless', ' Alert', ' Fun-Loving']",http://images.akc.org/pdf/breeds/standards/NorfolkTerrier.pdf,Ranks 126 of 195
175,Norrbottenspets,https://www.akc.org/dog-breeds/norrbottenspets/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13185037/Norrbottenspets-wading-into-a-lake.jpg,Miscellaneous Class,20-30 pounds,16.5-18 inches,14-17 years,"['Fearless', ' Agile', ' Attentive']",https://images.akc.org/pdf/breeds/standards/Norrbottenspets.pdf,
176,Norwegian Buhund,https://www.akc.org/dog-breeds/norwegian-buhund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04122258/Norwegian-Buhund.jpg,Herding Group,"31-40 pounds (male), 26-35 pounds (female)","17-18.5 inches (male), 16-17.5 inches (female)",12-15 years,"['Confident', ' Smart', ' Perceptive']",http://images.akc.org/pdf/breeds/standards/NorwegianBuhund.pdf,Ranks 165 of 195
177,Norwegian Elkhound,https://www.akc.org/dog-breeds/norwegian-elkhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230358/Norwegian-Elkhound-Care.jpg,Hound Group,"55 pounds (male), 48 pounds (female)","20.5 inches (male), 19.5 inches (female)",12-15 years,"['Friendly', ' Confident', ' Dependable']",http://images.akc.org/pdf/breeds/standards/NorwegianElkhound.pdf,Ranks 97 of 195
178,Norwegian Lundehund,https://www.akc.org/dog-breeds/norwegian-lundehund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/21194215/Norwegian-Lundehund.jpg,Non-Sporting Group,20-30 pounds,"13-15 inches (male), 12-14 inches (female)",12-15 years,"['Loyal', ' Energetic', ' Alert']",http://images.akc.org/pdf/breeds/standards/NorwegianLundehund.pdf,Ranks 191 of 195
179,Norwich Terrier,https://www.akc.org/dog-breeds/norwich-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210419/Norwich-Terrier-Care-2.jpg,Terrier Group,12 pounds,10 inches,12-15 years,"['Affectionate', ' Alert', ' Curious']",http://images.akc.org/pdf/breeds/standards/NorwichTerrier.pdf,Ranks 108 of 195
180,Nova Scotia Duck Tolling Retriever,https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213143/Nova-Scotia-Tolling-Duck-Retriever-Care-500x750.jpg,Sporting Group,35-50 pounds,"18-21 inches (male), 17-20 inches (female)",12-14 years,"['Affectionate', ' Intelligent', ' Outgoing']",http://images.akc.org/pdf/breeds/standards/NovaScotiaDuckTollingRetriever.pdf,Ranks 83 of 195
181,Old English Sheepdog,https://www.akc.org/dog-breeds/old-english-sheepdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230216/Old-English-Sheepdog-Care.jpg,Herding Group,60-100 pounds,"22 inches & up (male), 21 inches & up (female)",10-12 years,"['Adaptable', ' Gentle', ' Smart']",http://images.akc.org/pdf/breeds/standards/OldEnglishSheepdog.pdf,Ranks 72 of 195
182,Otterhound,https://www.akc.org/dog-breeds/otterhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230139/Otterhound-Care.jpg,Hound Group,"115 pounds (male), 80 pounds (female)","27 inches (male), 24 inches (female)",10-13 years,"['Even-Tempered', ' Amiable', ' Boisterous']",http://images.akc.org/pdf/breeds/standards/Otterhound.pdf,Ranks 182 of 195
183,Papillon,https://www.akc.org/dog-breeds/papillon/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230057/Papillon-Care-500x749.jpg,Toy Group,5-10 pounds,8-11 inches,14-16 years,"['Friendly', ' Alert', ' Happy']",http://images.akc.org/pdf/breeds/standards/Papillon.pdf,Ranks 54 of 195
184,Parson Russell Terrier,https://www.akc.org/dog-breeds/parson-russell-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230027/Parson-Russell-Terrier-Care.jpg,Terrier Group,13-17 pounds,"14 inches (male), 13 inches (female)",13-15 years,"['Friendly', ' Clever', ' Athletic']",http://images.akc.org/pdf/breeds/standards/ParsonRussellTerrier.pdf,Ranks 117 of 195
185,Pekingese,https://www.akc.org/dog-breeds/pekingese/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213908/Pekingnese-Care.jpg,Toy Group,up to 14 pounds,6-9 inches,12-14 years,"['Affectionate', ' Loyal', ' Regal in Manner']",http://images.akc.org/pdf/breeds/standards/Pekingese.pdf,Ranks 92 of 195
186,Pembroke Welsh Corgi,https://www.akc.org/dog-breeds/pembroke-welsh-corgi/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25230209/Pembroke-Welsh-Care.jpg,Herding Group,"up to 30 pounds (male), up to 28 pounds (female)",10-12 inches,12-13 years,"['Affectionate', ' Smart', ' Alert']",http://images.akc.org/pdf/breeds/standards/PembrokeWelshCorgi.pdf,Ranks 13 of 195
187,Perro de Presa Canario,https://www.akc.org/dog-breeds/perro-de-presa-canario/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190014/Perro-de-Presa-Canario-Care.jpg,Foundation Stock Service,84-110 pounds,22-26 inches,9-11 years,"['Confident', ' Calm', ' Strong-Willed']",http://www.fci.be/Nomenclature/Standards/346g02-en.pdf,
188,Peruvian Inca Orchid,https://www.akc.org/dog-breeds/peruvian-inca-orchid/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29161212/AdobeStock_22387339.1.jpg,Miscellaneous Class,8.5-17.5 pounds (small) 17.5-26.5 pounds (medium) 26.5-55 pounds (large),9.75-15.75 inches (small) 15.75-19.75 inches (medium) 19.75-25.75 inches (large),12-14 years,"['Affectionate', ' Loyal', ' Noble']",http://cdn.akc.org/PeruvianIncaOrchid.pdf,
189,Petit Basset Griffon Vendéen,https://www.akc.org/dog-breeds/petit-basset-griffon-vendeen/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25233526/Petit-Basset-Griffon-Vendeen-sitting-in-the-grass.jpg,Hound Group,25-40 pounds,13-15 inches,12-14 years,"['Alert', ' Happy', ' Vivacious']",http://images.akc.org/pdf/breeds/standards/PetitBassetGriffonVendeen.pdf,Ranks 156 of 195
190,Pharaoh Hound,https://www.akc.org/dog-breeds/pharaoh-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225845/Pharaoh-Hound-Care.jpg,Hound Group,45-55 pounds,"23-25 inches (male), 21-24 inches (female)",12-14 years,"['Friendly', ' Smart', ' Noble']",http://images.akc.org/pdf/breeds/standards/PharaohHound.pdf,Ranks 172 of 195
191,Plott Hound,https://www.akc.org/dog-breeds/plott-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225817/Plott-Care-500x749.jpg,Hound Group,"50-60 pounds (male), 40-55 pounds (female)","20-25 inches (male), 20-23 inches (female)",12-14 years,"['Loyal', ' Alert', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/Plott.pdf,Ranks 171 of 195
192,Pointer,https://www.akc.org/dog-breeds/pointer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31182304/Pointer-care1.jpg,Sporting Group,"55-75 pounds (male), 45-65 pounds (female)","25-28 inches (male), 23-26 inches (female)",12-17 years,"['Loyal', ' Hardworking', ' Even-Tempered']",http://images.akc.org/pdf/breeds/standards/Pointer.pdf,Ranks 114 of 195
193,Polish Lowland Sheepdog,https://www.akc.org/dog-breeds/polish-lowland-sheepdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225714/Polish-Lowland-Sheepdog-Care-500x749.jpg,Herding Group,30-50 pounds,"18-20 inches (male), 17-19 inches (female)",12-14 years,"['Confident', ' Clever', ' Lively']",http://images.akc.org/pdf/breeds/standards/PolishLowlandSheepdog.pdf,Ranks 170 of 195
194,Pomeranian,https://www.akc.org/dog-breeds/pomeranian/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225653/Pomeranian-Care.jpg,Toy Group,3-7 pounds,6-7 inches,12-16 years,"['Inquisitive', ' Bold', ' Lively']",http://images.akc.org/pdf/breeds/standards/Pomeranian.pdf,Ranks 23 of 195
195,Poodle (Miniature),https://www.akc.org/dog-breeds/poodle-miniature/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/05/13203206/Mini-Poodle-care.jpg,Non-Sporting Group,10-15 pounds,10-15 inches,10-18 years,"['Active', ' Proud', ' Very Smart']",http://images.akc.org/pdf/breeds/standards/Poodle.pdf,Ranks 7 of 195
196,Poodle (Standard),https://www.akc.org/dog-breeds/poodle-standard/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01142236/Poodle-Care1.jpg,Non-Sporting Group,"60-70 pounds (male), 40-50 pounds (female)",Over 15 inches (standard),10-18 years,"['Active', ' Proud', ' Very Smart']",https://images.akc.org/pdf/breeds/standards/Poodle.pdf,Ranks 7 of 195
197,Poodle (Toy),https://www.akc.org/dog-breeds/poodle-toy/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/05/12231610/Toy-Poodle-care1.jpg,Toy Group,4-6 pounds,No more than 10 inches,10-18 years,"['Agile', ' Intelligent', ' Self-Confident']",http://images.akc.org/pdf/breeds/standards/Poodle.pdf,Ranks 7 of 195
198,Porcelaine,https://www.akc.org/dog-breeds/porcelaine/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02202930/Porcelaine.1.jpg,Foundation Stock Service,55-62 pounds,22-23 inches,12-13 years,"['Independent', ' Energetic', ' Powerful']",http://www.fci.be/Nomenclature/Standards/030g06-en.pdf,
199,Portuguese Podengo,https://www.akc.org/dog-breeds/portuguese-podengo/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19135824/Portuguese-Podengo-sitting.jpg,Miscellaneous Class,44-66 pounds (large) 35-44 pounds (medium),22-28 inches (large) 16-22 inches (medium),10-12 years,"['Independent', ' Alert', ' Intelligent']",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22155127/Portuguese-Podengo.pdf,
200,Portuguese Podengo Pequeno,https://www.akc.org/dog-breeds/portuguese-podengo-pequeno/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225503/Portuguese-Podengo-Pequeno-Care-1.jpg,Hound Group,9-13 pounds,8-12 inches,12-15 years,"['Playful', ' Charming', ' Lively']",http://images.akc.org/pdf/breeds/standards/PortuguesePodengoPequeno.pdf,Ranks 154 of 195
201,Portuguese Pointer,https://www.akc.org/dog-breeds/portuguese-pointer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12195500/Portuguese-Pointer-Care-1.jpg,Foundation Stock Service,35-59 pounds,20.5-22 inches,~14 years,"['Affectionate', ' Smart', ' Energetic']",http://www.fci.be/Nomenclature/Standards/187g07-en.pdf,
